No,Nama,LLDikti
3349,STAI Ma`Arif Kalirejo Lampung Tengah,
3350,STAI Ma`Arif Kendal Ngawi,
3351,STAI Ma`Arif Sampang Madura,
3352,STAI Ma`Arif Sarolangun,
3353,STAI Ma`Arif Sintang,
3354,STAI Ma`Had `Ali Cirebon,
3355,STAI Ma`Had Aly Al-Hikam Malang,
3356,STAI Madinatul Ilmi Depok,
3357,STAI Madiun Jawa Timur,
3358,STAI Madrasah `Arabiyah (Staima) Bayang,
3359,STAI Masjid Syuhada Yogyakarta,
3360,STAI Mau`Izhah Tanjung Jabung Barat,
3361,STAI Mempawah Pontianak,
3362,STAI Miftahul Huda Al-Azhar Banjar,
3363,STAI Miftahul Huda Pamanukan Subang,
3364,STAI Miftahul Ula Nglawak Kertosono,
3365,STAI Miftahul Ulum Mukomuko,
3366,STAI Miftahul Ulum Pamekasan,
3367,STAI Miftahul Ulum Tanjung Pinang,
3368,STAI Miftahul Ulum Tarate Pandian Sumenep,
3369,STAI Miftahul Ulum Tasikmalaya,
3370,STAI Muara Bulian Batanghari,
3371,STAI Muhammadiyah (Staim) Blora,
3372,STAI Muhammadiyah Bandung,
3373,STAI Muhammadiyah Garut,
3374,STAI Nahdlatul Ulama (Stainu),
3375,STAI Nahdlatul Ulama (Stainu) Madiun,
3376,STAI Nahdlatul Ulama (Stainu) Malang,
3377,STAI Nahdlatul Ulama (Stainu) Pacitan,
3378,STAI Nahdlatul Ulama (Stainu) Tasikmalaya,
3379,STAI Nahdlatul Wathan Samawa Sumbawa Besar Ntb,
3380,STAI Natuna,
3381,STAI Nazhatut Thullab Sampang Madura,
3382,STAI Nias,
3383,STAI Nurul Falah Airmolek,
3384,STAI Nurul Hidayah Lebak Banten,
3385,STAI Nurul Huda Kapongan Situbondo,
3386,STAI Panca Budi Medan,
3387,STAI Pancawahana (Staipana) Bangil,
3388,STAI Pati (Staip),
3389,STAI Pelabuhan Ratu,
3390,STAI Pelita Bangsa,
3391,STAI Pengembangan Ilmu Al-Qur`An (Staipiq),
3392,STAI Persis Bandung,
3393,STAI Persis Garut,
3394,STAI Pertinu Padangsidimpuan,
3395,STAI Ptdii Jakarta,
3396,STAI Ptiq Kota Banda Aceh,
3397,STAI Pui Majalengka,
3398,STAI Putra Galuh Ciamis,
3399,STAI Rasyidiyah Khalidiyah (Rakha) Amuntai,
3400,STAI Raudhatul Akmal,
3401,STAI Rawa Aopa Konawe Selatan,
3402,STAI Riyadhul Jannah Subang,
3403,STAI Rokan,
3404,STAI Sabili Bandung,
3405,STAI Said Perintah Masohi,
3406,STAI Salahuddin Pasuruan,
3407,STAI Samora Pematang Siantar,
3408,STAI Sangatta,
3409,STAI Sayid Sabiq Indramayu,
3410,STAI Sebelas April Sumedang,
3411,STAI Sepakat Segenep Kutacane Aceh Tenggara,
3412,STAI Serdang Lubuk Pakam,
3413,STAI Shalahuddin Al-Ayyubi Jakarta Utara,
3414,STAI Siliwangi Bandung,
3415,STAI Siliwangi Garut,
3416,STAI Solok Nan Indah,
3417,STAI Sufyan Tsauri Majenang,
3418,STAI Sukabumi,
3419,STAI Sultan Abdur Rahman,
3420,STAI Sulthan Syarif Hasim,
3421,STAI Sunan Pandanaran Yogyakarta,
3422,STAI Syaichona Moh. Cholil Bangkalan,
3423,STAI Syamsul Ulum Gunung Puyuh,
3424,STAI Syekh Abdur Rauf Singkil,
3425,STAI Syekh H. Abdul Halim Hasan Al-Islahiyah Binjai,
3426,STAI Syekh Manshur Pandeglang,
3427,STAI Syekh Maulana Qori (Smq) Bangko,
3428,STAI Tapaktuan Aceh Selatan,
3429,STAI Taruna Surabaya,
3430,STAI Tasikmalaya,
3431,STAI Taswirul Afkar Surabaya,
3432,STAI Tebing Tinggi Deli,
3433,STAI Terpadu Yogyakarta,
3434,STAI Tgk. Chik Pante Kulu Kota Banda Aceh,
3435,STAI Tuanku Tambusai,
3436,STAI Tulang Bawang,
3437,STAI Uisu,
3438,STAI Umar Bin Khattab Di Ujunggading,
3439,STAI Walisembilan Semarang (Setiaws),
3440,STAI Washilatul Falah,
3441,STAI Wasilatul Falah,
3442,STAI Yamisa Soreang,
3443,STAI Yamra Merauke,
3444,STAI Yapata Al-Jawami Bandung,
3445,STAI Yapis Takalar,
3446,STAI Yapnas Jeneponto,
3447,STAI Yaptip Simpang Empat Pasaman Barat,
3448,STAI Yasba Kalianda Lampung Selatan,
3449,STAI Yayasan Nurul Islam (Yasni) Muara Bungo,
3450,STAI Yayasan Tarbiyah Islamiyah (Yastis) Lubuk Bagalung Padang,
3451,STAI Ydi Lubuk Sikaping,
3452,STAI Yogyakarta Wonosari,
3453,STAI Ypbwi Surabaya,
3454,STAI Ypiq Baubau,
3455,STAI Ypk Imam Bonjol Padang Panjang,
3456,STAIN Al-Fatah Jayapura,
3457,STAIN Bengkalis,
3458,STAIN Gajah Putih Takengon Aceh Tengah,
3459,STAIN Kediri,
3460,STAIN Pamekasan,
3461,STAIN Sorong,
3462,STAIN Tengku Dirundeng Meulaboh,
3463,STAIN Watampone,
3464,Stainu Kotabumi Lampung Utara,
3465,Stak Anak Bangsa,
3466,Stak Negeri Ambon,
3467,Stak Negeri Kupang,
3468,Stak Negeri Palangka Raya,
3469,Stak Negeri Sentani,
3470,Stak Negeri Tarutung,
3471,Stak Negeri Toraja,
3472,Stba Haji Agus Salim,10.0
3473,Stba Persahabatan Internasional Asia,1.0
3474,Stebi Global Mulia Cikarang,
3475,Stebis Al-Ulum Terpadu Medan,
3476,Stei Al Amar Subang Jawa Barat,
3477,Stei Ar - Rachman,
3478,Stei Ar Risalah Ciamis Jawa Barat,
3479,Stei Iqra Annisa Pekanbaru,
3480,Stei Lppm Padalarang,
3481,Stei Tiara Rawamangun,
3482,Stei Walisongo Sampang,
3483,Stft Gki Izaak Samuel Kijne Jayapura,14.0
3484,Sti Ekonomi Syari`Ah Baktiya Aceh Utara,
3485,STIA &Amp; Pemerintahan Annisa Dwi Salfarizi,2.0
3486,STIA Abdul Azis Kataloka,12.0
3487,STIA Asuh Mitra Solo,6.0
3488,STIA Bala Putra Dewa,2.0
3489,STIA Bina Banua Banjarmasin,11.0
3490,STIA Bina Nusantara Mandiri Pariaman,10.0
3491,STIA Dan Manajemen Kepelabuhan Barunawati,7.0
3492,STIA Nusantara Sakti Sungai Penuh,10.0
3493,STIA Puangrimaggalatung,9.0
3494,STIA-Lembaga Administrasi Negara Bandung,
3495,STIA-Lembaga Administrasi Negara Jakarta,
3496,STIA-Lembaga Administrasi Negara Makassar,
3497,Stid Al-Hadid Surabaya,
3498,Stid Dirosat Islamiyah Al-Hikmah Mampang Jakarta Selatan,
3499,Stid Mohammad Natsir Bekasi,
3500,Stid Mustafa Ibrahim Al-Ishlahuddiny Kediri Lombok Barat Ntb,
3501,STIE Akuntansi Dan Bisnis Internasional,1.0
3502,STIE Bumi Persada Lhokseumawe,13.0
3503,STIE Dharma Negara,4.0
3504,STIE Graha Karya Muara Bulian,10.0
3505,STIE Harapan Duri,10.0
3506,STIE Ibek Pangkalpinang Bangka,2.0
3507,STIE Ibmi Medan,1.0
3508,STIE Indonesia Banking School,3.0
3509,STIE Jakarta International College,3.0
3510,STIE Mahaputra Riau,10.0
3511,STIE Manajemen Bisnis Indonesia,3.0
3512,STIE Muhammadiyah Paciran Lamongan,7.0
3513,STIE Muhammadiyah Pekalongan,6.0
3514,STIE Nagoya Indonesia,10.0
3515,STIE Nias Selatan,1.0
3516,STIE Nobel Indonesia Makassar,9.0
3517,STIE Ottow &Amp; Geissler Fak-Fak,14.0
3518,STIE Pariwisata Internasional,3.0
3519,STIE Pasim Sukabumi,4.0
3520,STIE Pengembangan Bisnis Dan Manajemen,3.0
3521,STIE Prakarti Mulya,10.0
3522,STIE Saint Theresa,14.0
3523,STIE Syari`Ah Al-Mujaddid,
3524,STIE Unisadhuguna,3.0
3525,STIE Widyaswara Indonesia,10.0
3526,STIE Ybpk Palangka Raya,11.0
3527,Stieb Perdana Mandiri,4.0
3528,Sties Indonesia Purwakarta,
3529,Stih Indonesia Jentera,3.0
3530,Stih Litigasi,3.0
3531,Stih Putri Maharaja,10.0
3532,STIKES Adi Husada,
3533,STIKES Al-Insyirah Pekanbaru,10.0
3534,STIKES As Syifa,1.0
3535,STIKES Kusuma Bangsa,
3536,STIKES Lakipadada,9.0
3537,STIKES Mamba Ul Ulum Surakarta,
3538,STIKES Muhammadiyah Kuningan,4.0
3539,STIKES Namira Madina,1.0
3540,STIKES Pamenang,7.0
3541,STIKES Panti Waluya Malang,
3542,STIKES Pelita Ibu,
3543,STIKES Prima Indonesia,4.0
3544,STIKES Rs Baptis Kediri,
3545,Stiki Malang,7.0
3546,STIKOM Muhammadiyah Jayapura,14.0
3547,STIKOM Tunas Bangsa,1.0
3548,Stikpar Toraja,
3549,Stiks Tamalanrea Makassar,9.0
3550,Stiks Tarakanita,3.0
3551,Stimi Banjarmasin,11.0
3552,Stimi Samarinda,11.0
3553,Stimik Kupang,15.0
3554,Stimik Lamappapoleonro,9.0
3555,Stimik Tunas Bangsa Banjarnegara,6.0
3556,STIP Graha Karya,10.0
3557,Stipar Ende,
3558,Stipas Keuskupan Agung Kupang,
3559,Stipas St.Sirilus Ruteng,
3560,Stipas Tahasak Danum Pambelum Keuskupan Palangkaraya,
3561,Stiper Muhammadiyah Tanah Grogot,11.0
3562,Stiper Santo Thomas Aquinas Jayapura,14.0
3563,Stiper Sawahlunto Sijunjung,10.0
3564,Stipsi Abdi Nusa,2.0
3565,Stipsi Widya Dharma,2.0
3566,Stiq Kepulauan Riau,
3567,Stiq Miftahul Huda Rawalo Banyumas Jawa Tengah,
3568,STIS Al-Hilal Sigli Kab. Pidie,
3569,STIS Al-Hilal Sigli Pidie,
3570,STIS Al-Wahidiyah Kediri Jawa Timur,
3571,STIS As-Sa'Adah Sukasari Sumedang,
3572,STIS Darul Falah Pagutan Mataram Ntb,
3573,STIS Faqih Asy`Ari,
3574,STIS Samarinda,
3575,Stisip Bina Generasi Polewali,9.0
3576,Stisip Bina Marta,2.0
3577,Stisip Bina Putera Banjar,4.0
3578,Stisip Guna Nusantara,4.0
3579,Stisip Imam Bonjol,10.0
3580,Stisip Kartika Bangsa,5.0
3581,Stisip Margarana,8.0
3582,Stisip Merdeka Manado,16.0
3583,Stisip Muhammadiah Sinjai,9.0
3584,Stisip Muhammadiyah Madiun,7.0
3585,Stisip Muhammadiyah Rappang,9.0
3586,Stisip Nurdin Hamzah,10.0
3587,Stisip Padang,10.0
3588,Stisip Panca Bhakti Palu,16.0
3589,Stisip Petta Baringeng Soppeng,9.0
3590,Stisip Setia Budhi,4.0
3591,Stisip Silas Papare Jayapura,14.0
3592,Stisip Syamsul Ulum,4.0
3593,Stisip Tasikmalaya,4.0
3594,Stisip Trimasda Cilegon,4.0
3595,Stisip Widyapuri Mandiri,4.0
3596,Stisip Yupentek Tangerang,4.0
3597,Stisipol Candradimuka,2.0
3598,Stisipol Mujahidin,16.0
3599,Stisipol Pahlawan 12,2.0
3600,Stisipol Yaleka Maro,14.0
3601,Stit Al-Amin Indramayu,
3602,Stit Al-Amin Kreo Tangerang,
3603,Stit Al-Anshar Tanjung Selor Bulungan,
3604,Stit Al-Azami Cianjur,
3605,Stit Al-Aziziyah Kapek Gunungsari Lombok Barat Nusa Tenggara,
3606,Stit Al-Falah Rimbo Bujang,
3607,Stit Al-Hidayah Tasikmalaya,
3608,Stit Al-Hikmah Tebing Tinggi Sumatera Utara,
3609,Stit Al-Ibrohimy Bangkalan,
3610,Stit Al-Khairiyah Citangkil Cilegon,
3611,Stit Al-Marhalah Al-`Ulya Bekasi,
3612,Stit Al-Muslihun Tlogo Kanaigoro Blitar,
3613,Stit Al-Qur`An Al-Ittifaqiah (Stitqi) Ogan Ilir Sumatera Selatan,
3614,Stit Al-Quraniyah,
3615,Stit Al-Urwatul Wutsqo Jombang,
3616,Stit Al-Washliyah Binjai,
3617,Stit Aqidah Usymuni Sumenep,
3618,Stit Ar-Raudhah,
3619,Stit As-Salama Tual Maluku Tenggara,
3620,Stit At-Taqwa Ciparay Bandung,
3621,Stit At-Taqwa Gegerkalong Bandung,
3622,Stit Babussalam,
3623,Stit Balikpapan (Stitba),
3624,Stit Bustanul `Ulum Lampung Tengah,
3625,Stit Darul Hijrah Martapura,
3626,Stit Darul Ulum,
3627,Stit Darussalam Lhokseumawe,
3628,Stit Darussalimin Nahdlatul Wathan Praya Lombok Tengah Nusa Tenggara Barat,
3629,Stit Darussalimin Nw Praya Lombok Tengah Nusa Tenggara Barat,
3630,Stit Hamzah Al-Fansuri Sibolga Barus (Stit Hasiba) Tapanuli Tengah,
3631,Stit Hamzah Fansuri Subulussalam Aceh,
3632,Stit Ibnu Rusyd Grogot Paser,
3633,Stit Ibnu Sina Malang,
3634,Stit Insan Kamil Bogor Jawa Barat,
3635,Stit Iqra` Kapuas Hulu,
3636,Stit Islamic Village Tangerang Banten,
3637,Stit Islamiyah Karya Pembangunan Paron Ngawi,
3638,Stit Jembrana Bali,
3639,Stit Madina Sragen,
3640,Stit Makhdum Ibrahim (Stitma) Tuban,
3641,Stit Miftahul Ulum Bangkalan,
3642,Stit Misbahul Ulum Gumawang Belitang Oku Timur,
3643,Stit Muhammadiyah Aceh Barat Daya,
3644,Stit Muhammadiyah Bangil,
3645,Stit Muhammadiyah Banjar,
3646,Stit Muhammadiyah Bojonegoro,
3647,Stit Muhammadiyah Kendal,
3648,Stit Muhammadiyah Lumajang,
3649,Stit Muhammadiyah Pacitan,
3650,Stit Muhammadiyah Tempurejo Ngawi,
3651,Stit Multazam,
3652,Stit Nurul Hikmah Cianjur,
3653,Stit Pagar Alam,
3654,Stit Palapa Nusantara Lombok Nusa Tenggara Barat,
3655,Stit Pemalang,
3656,Stit Pringsewu Lampung Selatan,
3657,Stit Pti Al-Hilal Sigli Kab. Pidie,
3658,Stit Raudhatul Ulum,
3659,Stit Serang,
3660,Stit Sunan Giri Bima,
3661,Stit Sunan Giri Trenggalek,
3662,Stit Syamsul Ma`Arif Bontang,
3663,Stit Syarif Abdurrahman Singkawang,
3664,Stit Syekh Burhanuddin Pariaman,
3665,Stit Syekhsaman Al-Hasan,
3666,Stit Tarbiyatun Nisa Sentul-Bogor,
3667,Stit Ya`Mal Tangerang,
3668,Stit Ypi Al-Yaqin Muaro Sijunjung,
3669,Stit Ypi Kerinci,
3670,Stitek Bina Taruna,16.0
3671,Stitek Dharma Yadi Makassar,9.0
3672,Stitnu Al Hikmah Mojokerto,
3673,Stitnu Al-Mahsuni,
3674,Stitnu Sakinah Dharmasraya,
3675,Stiu Al-Mujtama Pamekasan,
3676,Stiu Darul Hikmah Bekasi,
3677,Stiu Dirosat Islamiyah Al-Hikmah Jakarta Selatan,
3678,Stk St. Yakobus Merauke,
3679,Stk Touye Paapaa Deiyai Keuskupan Timika,
3680,STKIP La Tansa Mashiro,4.0
3681,STKIP Abdi Wacana Wamena,14.0
3682,STKIP Adzkia,10.0
3683,STKIP Agama Hindu Amlapura,8.0
3684,STKIP Agama Hindu Singaraja,8.0
3685,STKIP Ahlussunnah,10.0
3686,STKIP Aisyiyah Riau,10.0
3687,STKIP Al Amin Dompu,8.0
3688,STKIP Al Azhar Diniyyah Jambi,10.0
3689,STKIP Al Hikmah Surabaya,7.0
3690,STKIP Al-Washliyah,13.0
3691,STKIP Andi Mattappa,9.0
3692,STKIP An-Nur Nangro Aceh,13.0
3693,STKIP Arrahmaniyah,4.0
3694,STKIP Babunnajah Pandeglang,4.0
3695,STKIP Banten,4.0
3696,STKIP Bima,8.0
3697,STKIP Bina Bangsa Getsempena,13.0
3698,STKIP Bina Bangsa Meulaboh,13.0
3699,STKIP Bina Insan Mandiri,7.0
3700,STKIP Budidaya,1.0
3701,STKIP Bumi Persada Lhokseumawe,13.0
3702,STKIP Citra Bina Nusantara,15.0
3703,STKIP Dampal Selatan,16.0
3704,STKIP Darud Da Wah Wal Irsyad Pinrang,9.0
3705,STKIP Darussalam Cilacap,6.0
3706,STKIP Gotong Royong Masohi,12.0
3707,STKIP Hamzar,8.0
3708,STKIP Harapan Bima,8.0
3709,STKIP Hatta Sjahrir,12.0
3710,STKIP Hermon Timika,14.0
3711,STKIP Hunimua,12.0
3712,STKIP Islam Sabilal Muhtadin Banjarmasin,11.0
3713,STKIP Ita Wotu Nusa,12.0
3714,STKIP Kie Raha,12.0
3715,STKIP Kristen Wamena,14.0
3716,STKIP Kusumanegara,3.0
3717,STKIP Labuhan Batu,1.0
3718,STKIP Majenang,6.0
3719,STKIP Modern Ngawi,7.0
3720,STKIP Muhammadiyah Aceh Tengah,13.0
3721,STKIP Muhammadiyah Bangka Belitung,2.0
3722,STKIP Muhammadiyah Barru,9.0
3723,STKIP Muhammadiyah Blora,6.0
3724,STKIP Muhammadiyah Bogor,4.0
3725,STKIP Muhammadiyah Bone,9.0
3726,STKIP Muhammadiyah Bulukumba,9.0
3727,STKIP Muhammadiyah Kalabahi,15.0
3728,STKIP Muhammadiyah Kuningan,4.0
3729,STKIP Muhammadiyah Lumajang,7.0
3730,STKIP Muhammadiyah Manokwari,14.0
3731,STKIP Muhammadiyah Muara Bungo,10.0
3732,STKIP Muhammadiyah Palopo,9.0
3733,STKIP Muhammadiyah Sampit,11.0
3734,STKIP Muhammadiyah Sorong,14.0
3735,STKIP Muhammadiyah Sungai Penuh,10.0
3736,STKIP Mutiara Banten,4.0
3737,STKIP Nahdlatul Ulama Indramayu,4.0
3738,STKIP Nahdlatul Ulama Kabupaten Tegal,6.0
3739,STKIP Nasional,10.0
3740,STKIP Nias Selatan,1.0
3741,STKIP Nurul Huda Di Sukaraja,2.0
3742,STKIP Nusa Bunga Floresta,15.0
3743,STKIP Pamane Talino,11.0
3744,STKIP Panca Sakti Bekasi,4.0
3745,STKIP Pancakarya,4.0
3746,STKIP Pangeran Antasari,1.0
3747,STKIP Pangeran Dharma Kusuma Segeran Juntinyuat Indramayu,4.0
3748,STKIP Paracendekia N W Sumbawa,8.0
3749,STKIP Paris Barantai,11.0
3750,STKIP Pelita Nusantara Buton,9.0
3751,STKIP Pelita Pratama,4.0
3752,STKIP Pembangunan Indonesia,9.0
3753,STKIP Persada Khatulistiwa,11.0
3754,STKIP Persada Khatulistiwa Sintang,11.0
3755,STKIP Persatuan Islam,4.0
3756,STKIP Pesisir Selatan,10.0
3757,STKIP Pgri Bandar Lampung,2.0
3758,STKIP Pgri Bangkalan,7.0
3759,STKIP Pgri Banjarmasin,11.0
3760,STKIP Pgri Blitar,7.0
3761,STKIP Pgri Jombang,7.0
3762,STKIP Pgri Lamongan,7.0
3763,STKIP Pgri Lubuk Linggau,2.0
3764,STKIP Pgri Lumajang,7.0
3765,STKIP Pgri Metro,2.0
3766,STKIP Pgri Nganjuk,7.0
3767,STKIP Pgri Pacitan,7.0
3768,STKIP Pgri Pasuruan,7.0
3769,STKIP Pgri Ponorogo,7.0
3770,STKIP Pgri Sampang,7.0
3771,STKIP Pgri Sidoarjo,7.0
3772,STKIP Pgri Sukabumi,4.0
3773,STKIP Pgri Sumatera Barat,10.0
3774,STKIP Pgri Sumenep,7.0
3775,STKIP Pgri Trenggalek,7.0
3776,STKIP Pgri Tulungagung,7.0
3777,STKIP Puangrimaggalatung Sengkang,9.0
3778,STKIP Purnama,3.0
3779,STKIP Rokania,10.0
3780,STKIP Santu Paulus,15.0
3781,STKIP Sebelas April,4.0
3782,STKIP Sera,4.0
3783,STKIP Setiabudhi,4.0
3784,STKIP Siliwangi,4.0
3785,STKIP Simbiosis,15.0
3786,STKIP Sinar Cendekia,4.0
3787,STKIP Sinar Pancasila,15.0
3788,STKIP Singkawang,11.0
3789,STKIP Situs Banten Di Serang,4.0
3790,STKIP Soe,15.0
3791,STKIP Suar Bangli,8.0
3792,STKIP Subang,4.0
3793,STKIP Surya,4.0
3794,STKIP Syekh Manshur,4.0
3795,STKIP Taman Siswa Bima,8.0
3796,STKIP Tunas Palapa,2.0
3797,STKIP Veteran Sidrap,9.0
3798,STKIP Weetebula,15.0
3799,STKIP Widyaswara Indonesia,10.0
3800,STKIP Yapis Dompu,8.0
3801,STKIP Yapti Jeneponto,9.0
3802,STKIP Yasika,4.0
3803,STKIP Yayasan Abdi Pendidikan,10.0
3804,STKIP Ydb Lubuk Alung,10.0
3805,STKIP Ypm Bangko,10.0
3806,STKIP Ypup Makassar,9.0
3807,Stkpk Bina Insan,
3808,STMIK Adhi Guna,16.0
3809,STMIK Akakom,5.0
3810,STMIK Aki Pati,6.0
3811,STMIK AMIK Bandung,4.0
3812,STMIK AMIK Riau,10.0
3813,STMIK Amikom Purwokerto,6.0
3814,STMIK Asia Malang,7.0
3815,STMIK Aub Surakarta,6.0
3816,STMIK Bandung Bali,8.0
3817,STMIK Bani Saleh,4.0
3818,STMIK Banjarbaru,11.0
3819,STMIK Bina Bangsa,13.0
3820,STMIK Bina Insani,4.0
3821,STMIK Bina Mulia,16.0
3822,STMIK Bina Patria,6.0
3823,STMIK Borneo Internasional,11.0
3824,STMIK Budi Darma,1.0
3825,STMIK Bumi Gora,8.0
3826,STMIK Catur Sakti Kendari,9.0
3827,STMIK Cikarang,4.0
3828,STMIK Citra Mandiri Padangsidimpuan,1.0
3829,STMIK Dci,4.0
3830,STMIK Dharma Negara,4.0
3831,STMIK Dharma Putra,4.0
3832,STMIK Dharma Wacana,2.0
3833,STMIK Dian Cipta Cendikia Kotabumi,2.0
3834,STMIK Dipanegara Makassar,9.0
3835,STMIK Dumai,10.0
3836,STMIK Eresha,3.0
3837,STMIK Global Informatika Mdp,2.0
3838,STMIK Handayani Makassar,9.0
3839,STMIK Hang Tuah Pekanbaru,10.0
3840,STMIK Hasan Sulur Wonomulyo,9.0
3841,STMIK Himsya,6.0
3842,STMIK Ibbi,1.0
3843,STMIK Ikmi Cirebon,4.0
3844,STMIK Indonesia Banda Aceh,13.0
3845,STMIK Indonesia Banjarmasin,11.0
3846,STMIK Indonesia Jakarta,3.0
3847,STMIK Indonesia Padang,10.0
3848,STMIK Indragiri,10.0
3849,STMIK Islam Internasional,3.0
3850,STMIK Itmi Medan,1.0
3851,STMIK Jabar,4.0
3852,STMIK Jakarta Sti&Amp;K,3.0
3853,STMIK Jaya Nusa,10.0
3854,STMIK Kadiri,7.0
3855,STMIK Kaputama,1.0
3856,STMIK Kharisma Karawang,4.0
3857,STMIK Kharisma Makassar,9.0
3858,STMIK Kreatindo Manokwari,14.0
3859,STMIK Kristen Neumann Indonesia,1.0
3860,STMIK Likmi,4.0
3861,STMIK Logika,1.0
3862,STMIK Lombok,8.0
3863,STMIK Mardira Indonesia,4.0
3864,STMIK Masa Depan,4.0
3865,STMIK Mbc Palembang,2.0
3866,STMIK Mercusuar,4.0
3867,STMIK Methodist Binjai,1.0
3868,STMIK Mic Cikarang,4.0
3869,STMIK Mikroskil,1.0
3870,STMIK Mitra Lampung,2.0
3871,STMIK Muhammadiyah Banten,4.0
3872,STMIK Muhammadiyah Paguyangan Brebes,6.0
3873,STMIK Multicom Bolaan Mongondow,16.0
3874,STMIK Musi Rawas,2.0
3875,STMIK Nurdin Hamzah,10.0
3876,STMIK Nusa Mandiri Jakarta,3.0
3877,STMIK Palangka Raya,11.0
3878,STMIK Palcomtech,2.0
3879,STMIK Pamitran,4.0
3880,STMIK Parnaraya,16.0
3881,STMIK Pasim Sukabumi,4.0
3882,STMIK Pelita Nusantara Medan,1.0
3883,STMIK Pgri Tangerang,4.0
3884,STMIK Ppkia Pradnya Paramita,7.0
3885,STMIK Ppkia Tarakanita Rahmawati Tarakan,11.0
3886,STMIK Pranata Indonesia,4.0
3887,STMIK Primakara,8.0
3888,STMIK Pringsewu,2.0
3889,STMIK Profesional Makassar,9.0
3890,STMIK Raharja,4.0
3891,STMIK Rosma,4.0
3892,STMIK Sentra Pendidikan Bisnis,11.0
3893,STMIK Sinar Nusantara,6.0
3894,STMIK Subang,4.0
3895,STMIK Surya Intan,2.0
3896,STMIK Swadharma,3.0
3897,STMIK Tasikmalaya,4.0
3898,STMIK Tidore Mandiri,12.0
3899,STMIK Time,1.0
3900,STMIK Triguna Dharma,1.0
3901,STMIK Triguna Utama,4.0
3902,STMIK Tulus Cendekia,4.0
3903,STMIK Tunas Bangsa,2.0
3904,STMIK Widuri,3.0
3905,STMIK Widya Cipta Dharma,11.0
3906,STMIK Widya Dharma,11.0
3907,STMIK Widya Pratama,6.0
3908,STMIK Widya Utama,6.0
3909,STMIK Wit Cirebon,4.0
3910,STMIK Yadika Bangil,7.0
3911,STMIK Ymi Tegal,6.0
3912,STP Dian Mandala Gunung Sitoli Nias Keuskupan Sibolga,
3913,STP Don Bosco Tomohon,
3914,STP- Ipi Malang,
3915,STP St. Bonaventura Delitua Medan,
3916,Stpak St. Yohanes Penginjil Ambon,
3917,Stpk St. Benediktus,
3918,Stpk St. Yohanes Rasul Jayapura,
3919,STT Internasional Harvest Semarang,
3920,STT Agape Indonesia Misi Internasional (Aimi),
3921,STT Anugerah Sinagoge Medan,
3922,STT Anugrah,
3923,STT Anugrah Indonesia,
3924,STT Arastamar Mataram,
3925,STT Arastamar Riau,
3926,STT Arastamar Wamena,
3927,STT Bala Keselamatan Palu,
3928,STT Berita Kitab Wahyu International,
3929,STT Bethel Bekasi,
3930,STT Bethel Indonesia Jakarta,
3931,STT Biblika Jakarta,
3932,STT Bina Muda Wirawan Tangerang,
3933,STT Bisanry Makassar,
3934,STT Ebenhaezer Tanjung Enim,
3935,STT Ekumene Jakarta,
3936,STT Gereja Injili Di Indonesia,
3937,STT Gereja Kristen Sumba,
3938,STT Ikat Di Batam,
3939,STT Indonesia Manado (Stti Manado),
3940,STT Injili Arastamar Nias Selatan,
3941,STT Injili Di Palembang,
3942,STT Injili Indonesia Kupang,
3943,STT Injili Indonesia Medan,
3944,STT Injili Jakarta,
3945,STT Injili Setia Siau,
3946,STT Internasional Harvest Tangerang,
3947,STT Kalam Mulia Bandung,
3948,STT Kasih Mentawai,
3949,STT Kerusso Indonesia Bekasi,
3950,STT Lighthouse Equipping Theological School (Lets),
3951,STT Lintas Budaya Batam,
3952,STT Minyak Dan Gas Cilacap,6.0
3953,STT Oikumene Injili Sidikalang,
3954,STT Pelita Dunia Banten,
3955,STT Pelita Hati,
3956,STT Periago,
3957,STT Permata Bangsa Barito,
3958,STT Pokok Anggur Jakarta,
3959,STT Rumah Murid Kristus Bitung,
3960,STT Samuel Elizabeth,
3961,STT Skriptura Indonesia,
3962,STT Soe Prov. Nusa Tenggara Timur,
3963,STT Sola Fide,
3964,STT Sriwijaya Palembang,
3965,STT Star'S Lub Luwuk Banggai,
3966,STT Sulbar Di Mamuju,
3967,STT Tabernakel Indonesia Surabaya,
3968,STT Trinity Parapat,
3969,STT Yesyurun Arastamar Seriti Luwu,
3970,Universitas Harapan Bangsa,6.0
3971,Universitas 17 Agustus 1945 Banyuwangi,7.0
3972,Universitas 17 Agustus 1945 Cirebon,4.0
3973,Universitas 17 Agustus 1945 Jakarta,3.0
3974,Universitas 17 Agustus 1945 Samarinda,11.0
3975,Universitas 17 Agustus 1945 Semarang,6.0
3976,Universitas 17 Agustus 1945 Surabaya,7.0
3977,Universitas 45 Mataram,8.0
3978,Universitas 45 Surabaya,7.0
3979,Universitas Abdurachman Saleh,7.0
3980,Universitas Abdurrab,10.0
3981,Universitas Abulyatama,13.0
3982,Universitas Achmad Yani Banjarmasin,11.0
3983,Universitas Adhirajasa Reswara Sanjaya,4.0
3984,Universitas Adiwangsa Jambi,10.0
3985,Universitas Advent Indonesia,4.0
3986,Universitas Agung Podomoro,3.0
3987,Universitas Ahmad Dahlan,5.0
3988,Universitas Airlangga,
3989,Universitas Aisyah Pringsewu,
3990,Universitas Aisyiyah Bandung,
