No,Nama,LLDikti
217,Akademi Kebidanan Makariwo,
218,Akademi Kebidanan Mandiri Gresik,7.0
219,Akademi Kebidanan Manna,
220,Akademi Kebidanan Matorkis,1.0
221,Akademi Kebidanan Medica Bakti Nusantara,
222,Akademi Kebidanan Medica Bakti Persada,
223,Akademi Kebidanan Medika Wiyata Kediri,
224,Akademi Kebidanan Menara Bunda,9.0
225,Akademi Kebidanan Menara Primadani,
226,Akademi Kebidanan Minasa Upa,
227,Akademi Kebidanan Mitra Husada Medan,1.0
228,Akademi Kebidanan Mitra Husada Padang,
229,Akademi Kebidanan Mitra Sehat Sidoarjo,7.0
230,Akademi Kebidanan Mitra Syuhada Padangsidimpuan,1.0
231,Akademi Kebidanan Muhammadiyah Banda Aceh,
232,Akademi Kebidanan Muhammadiyah Kotim,
233,Akademi Kebidanan Mulia Madani Yogyakarta,
234,Akademi Kebidanan Munawarrah Bireuen,1.0
235,Akademi Kebidanan Muslimat Nahdlatul Ulama Kudus,
236,Akademi Kebidanan Mutiara Mahakam,11.0
237,Akademi Kebidanan Namira Kotanopan,1.0
238,Akademi Kebidanan Nurul Hasanah,
239,Akademi Kebidanan Nusantara 2000,
240,Akademi Kebidanan Nusantara Indonesia Lubuklinggau,
241,Akademi Kebidanan Nusantara Jaya,9.0
242,Akademi Kebidanan Nyai Ahmad Dahlan Yogyakarta,
243,Akademi Kebidanan Palu Sulawesi Tengah,
244,Akademi Kebidanan Paluta Husada,
245,Akademi Kebidanan Pamenang,7.0
246,Akademi Kebidanan Panca Bhakti,
247,Akademi Kebidanan Panca Bhakti Pontianak,
248,Akademi Kebidanan Panti Wilasa,6.0
249,Akademi Kebidanan Paramata Raha,
250,Akademi Kebidanan Pasaman Barat,10.0
251,Akademi Kebidanan Patriot Bangsa Husada Lampung,
252,Akademi Kebidanan Payung Pelalawan,
253,Akademi Kebidanan Pelita Ilmu,4.0
254,Akademi Kebidanan Pemerintah Kabupaten Karo Kabanjahe,
255,Akademi Kebidanan Pemerintah Provinsi Bali Singaraja,
256,Akademi Kebidanan Pemkab Muara Enim,
257,Akademi Kebidanan Permata Husada Samarinda,
258,Akademi Kebidanan Persada Palembang,
259,Akademi Kebidanan Persada Wajo,9.0
260,Akademi Kebidanan Petro Mandau Husada,10.0
261,Akademi Kebidanan Pgri Kediri,7.0
